fecha,temperatura
2018-01-01,12
2018-01-02,12
2018-01-03,12
2018-01-04,15
2018-01-05,15
2018-01-06,14
2018-01-07,10
2018-01-08,16
2018-01-09,16
2018-01-10,12
2018-01-11,10
2018-01-12,16
2018-01-13,13
2018-01-14,10
2018-01-15,14
2018-01-16,12
2018-01-17,16
2018-01-18,13
2018-01-19,10
2018-01-20,15
2018-01-21,16
2018-01-22,12
2018-01-23,15
2018-01-24,15
2018-01-25,10
2018-01-26,16
2018-01-27,11
2018-01-28,11
2018-01-29,14
2018-01-30,14
2018-01-31,10
2018-02-01,11
2018-02-02,15
2018-02-03,10
2018-02-04,11
2018-02-05,15
2018-02-06,11
2018-02-07,10
2018-02-08,15
2018-02-09,11
2018-02-10,16
2018-02-11,10
2018-02-12,15
2018-02-13,15
2018-02-14,14
2018-02-15,13
2018-02-16,15
2018-02-17,12
2018-02-18,14
2018-02-19,16
2018-02-20,11
2018-02-21,15
2018-02-22,10
2018-02-23,12
2018-02-24,11
2018-02-25,12
2018-02-26,10
2018-02-27,11
2018-02-28,13
2018-03-01,12
2018-03-02,10
2018-03-03,12
2018-03-04,13
2018-03-05,15
2018-03-06,15
2018-03-07,12
2018-03-08,11
2018-03-09,12
2018-03-10,14
2018-03-11,11
2018-03-12,14
2018-03-13,12
2018-03-14,14
2018-03-15,15
2018-03-16,14
2018-03-17,13
2018-03-18,16
2018-03-19,13
2018-03-20,16
2018-03-21,16
2018-03-22,12
2018-03-23,10
2018-03-24,13
2018-03-25,13
2018-03-26,12
2018-03-27,11
2018-03-28,12
2018-03-29,13
2018-03-30,11
2018-03-31,15
2018-04-01,13
2018-04-02,11
2018-04-03,12
2018-04-04,16
2018-04-05,11
2018-04-06,12
2018-04-07,13
2018-04-08,10
2018-04-09,16
2018-04-10,11
2018-04-11,16
2018-04-12,10
2018-04-13,15
2018-04-14,13
2018-04-15,15
2018-04-16,12
2018-04-17,10
2018-04-18,14
2018-04-19,14
2018-04-20,15
2018-04-21,11
2018-04-22,10
2018-04-23,12
2018-04-24,11
2018-04-25,10
2018-04-26,15
2018-04-27,14
2018-04-28,10
2018-04-29,12
2018-04-30,11
2018-05-01,15
2018-05-02,16
2018-05-03,11
2018-05-04,14
2018-05-05,11
2018-05-06,13
2018-05-07,13
2018-05-08,16
2018-05-09,14
2018-05-10,13
2018-05-11,16
2018-05-12,11
2018-05-13,14
2018-05-14,11
2018-05-15,15
2018-05-16,11
2018-05-17,13
2018-05-18,16
2018-05-19,15
2018-05-20,13
2018-05-21,16
2018-05-22,16
2018-05-23,13
2018-05-24,14
2018-05-25,12
2018-05-26,10
2018-05-27,12
2018-05-28,11
2018-05-29,11
2018-05-30,10
2018-05-31,15
2018-06-01,12
2018-06-02,14
2018-06-03,15
2018-06-04,14
2018-06-05,15
2018-06-06,11
2018-06-07,16
2018-06-08,10
2018-06-09,14
2018-06-10,15
2018-06-11,12
2018-06-12,12
2018-06-13,15
2018-06-14,16
2018-06-15,10
2018-06-16,10
2018-06-17,16
2018-06-18,13
2018-06-19,13
2018-06-20,14
2018-06-21,12
2018-06-22,15
2018-06-23,16
2018-06-24,13
2018-06-25,11
2018-06-26,14
2018-06-27,15
2018-06-28,13
2018-06-29,11
2018-06-30,10
2018-07-01,11
2018-07-02,16
2018-07-03,16
2018-07-04,15
2018-07-05,10
2018-07-06,16
2018-07-07,14
2018-07-08,14
2018-07-09,10
2018-07-10,16
2018-07-11,12
2018-07-12,11
2018-07-13,14
2018-07-14,15
2018-07-15,14
2018-07-16,13
2018-07-17,12
2018-07-18,14
2018-07-19,11
2018-07-20,10
2018-07-21,14
2018-07-22,13
2018-07-23,14
2018-07-24,12
2018-07-25,13
2018-07-26,14
2018-07-27,16
2018-07-28,13
2018-07-29,13
2018-07-30,13
2018-07-31,11
2018-08-01,11
2018-08-02,14
2018-08-03,12
2018-08-04,10
2018-08-05,11
2018-08-06,13
2018-08-07,13
2018-08-08,16
2018-08-09,12
2018-08-10,16
2018-08-11,12
2018-08-12,11
2018-08-13,12
2018-08-14,15
2018-08-15,12
2018-08-16,11
2018-08-17,11
2018-08-18,10
2018-08-19,13
2018-08-20,16
2018-08-21,13
2018-08-22,12
2018-08-23,16
2018-08-24,15
2018-08-25,13
2018-08-26,12
2018-08-27,15
2018-08-28,10
2018-08-29,10
2018-08-30,15
2018-08-31,16
2018-09-01,15
2018-09-02,13
2018-09-03,14
2018-09-04,16
2018-09-05,15
2018-09-06,12
2018-09-07,14
2018-09-08,14
2018-09-09,11
2018-09-10,16
2018-09-11,10
2018-09-12,12
2018-09-13,14
2018-09-14,11
2018-09-15,14
2018-09-16,16
2018-09-17,14
2018-09-18,15
2018-09-19,15
2018-09-20,10
2018-09-21,13
2018-09-22,10
2018-09-23,14
2018-09-24,12
2018-09-25,16
2018-09-26,12
2018-09-27,13
2018-09-28,12
2018-09-29,12
2018-09-30,10
2018-10-01,15
2018-10-02,10
2018-10-03,11
2018-10-04,16
2018-10-05,10
2018-10-06,16
2018-10-07,12
2018-10-08,10
2018-10-09,12
2018-10-10,13
2018-10-11,14
2018-10-12,15
2018-10-13,11
2018-10-14,15
2018-10-15,15
2018-10-16,12
2018-10-17,10
2018-10-18,16
2018-10-19,15
2018-10-20,16
2018-10-21,13
2018-10-22,13
2018-10-23,14
2018-10-24,14
2018-10-25,10
2018-10-26,10
2018-10-27,12
2018-10-28,10
2018-10-29,11
2018-10-30,15
2018-10-31,10
2018-11-01,14
2018-11-02,12
2018-11-03,13
2018-11-04,15
2018-11-05,13
2018-11-06,14
2018-11-07,16
2018-11-08,16
2018-11-09,11
2018-11-10,13
2018-11-11,16
2018-11-12,15
2018-11-13,14
2018-11-14,11
2018-11-15,12
2018-11-16,11
2018-11-17,12
2018-11-18,14
2018-11-19,10
2018-11-20,10
2018-11-21,12
2018-11-22,11
2018-11-23,11
2018-11-24,15
2018-11-25,13
2018-11-26,14
2018-11-27,11
2018-11-28,13
2018-11-29,16
2018-11-30,16
2018-12-01,14
2018-12-02,13
2018-12-03,15
2018-12-04,13
2018-12-05,15
2018-12-06,15
2018-12-07,14
2018-12-08,11
2018-12-09,16
2018-12-10,14
2018-12-11,16
2018-12-12,11
2018-12-13,15
2018-12-14,13
2018-12-15,15
2018-12-16,10
2018-12-17,16
2018-12-18,11
2018-12-19,16
2018-12-20,12
2018-12-21,13
2018-12-22,15
2018-12-23,13
2018-12-24,10
2018-12-25,11
2018-12-26,12
2018-12-27,11
2018-12-28,11
2018-12-29,16
2018-12-30,12
2018-12-31,16
